Key	Czech (CS)	English (EN)	German (DE)	Source	Notes
about.description	Od roku 2009 propojujeme dlouholeté zkušenosti z mezinárodních poradenských kanceláří s prostředím malé flexibilní kanceláře s osobním přístupem a inovativními technologiemi. Našimi klienty jsou především moderní malé a střední společnosti s mezinárodním přesahem nebo společnosti s mezinárodním kapitálem působící v České republice.  	Since 2009, we have been blending our years of experience working in international consulting firms with a flexible small office environment featuring a more personal touch and innovative use of technologies. We primarily cater to modern small and medium-sized companies having an international presence, or companies with international capital operating in the Czech Republic.	Seit 2009 kombinieren wir jahrelange Erfahrungen aus internationalen Beratungsunternehmen mit der Umgebung eines kleinen, flexiblen Büros mit einem persönlichen Ansatz und innovativen Technologien. Unsere Kunden sind hauptsächlich moderne kleine und mittelständische Unternehmen mit internationaler Reichweite oder Unternehmen mit internationalem Kapital, die in der Tschechischen Republik tätig sind.  	i18nexus	
about.header	Kdo jsme	Who we are	Wer wir sind	i18nexus	
about.team.first.cvRecords	"Společník, Brantl & Partners, od 2020|
Tax Manager, Moore Stephens (BDO), 2013 - 2018|
Daňový poradce, Vorlíčková Partners (Rödl & Partner), 2007 - 2013|
Daňový poradce od 2009|
LL.M. (evropské daňové právo), Johannes Kepler Universität Linz, 2009 - 2010 "	"Partner, Brantl & Partners, since 2020|
Tax Manager, Moore Stephens (BDO), 2013 - 2018|
Tax Advisor, Vorlíčková Partners (Rödl & Partner), 2007 - 2013|
Tax Advisor since 2009|
LL.M. (European Tax Law), Johannes Kepler Universität Linz, 2009 - 2010"	Partner bei Brantl & Partners seit 2020 | Steuermanager bei Moore Stephens (BDO), 2013–2018 | Steuerberater bei Vorlíčková Partners (Rödl & Partner), 2007–2013 | Steuerberater seit 2009 | LL.M. (Europäisches Steuerrecht), Johannes Kepler Universität Linz, 2009–2010	i18nexus	
about.team.first.name	Ing. Jiří Dolejš, LL.M.	Ing. Jiří Dolejš, LL.M.	Ing. Jiří Dolejš, LL.M.	i18nexus	
about.team.first.role	"daňový poradce I jednatel
"	"tax advisor and executive
"	"Steuerberater und Führungskraft
"	i18nexus	
about.team.first.specializations	"Poradenství pro společnosti s německým kapitálem v ČR| Transferové ceny|
Mezinárodní zdanění"	"Consulting for companies with German capital in the Czech Republic | Transfer pricing |
International taxation"	Beratung für Unternehmen mit deutschem Kapital in Tschechien | Verrechnungspreise | Internationale Besteuerung	i18nexus	
about.team.second.cvRecords	"Společník, Brantl & Partners, od 2023|
Audit Manager, BDO, 2020 - 2023|
Auditor, Moore Stephens, 2019 – 2020|
Statutární auditor od 2019"	"Partner, Brantl & Partners, since 2023|
Audit Manager, BDO, 2020 - 2023|
Auditor, Moore Stephens, 2019 – 2020|
Statutory auditor since 2019"	Partner bei Brantl & Partners seit 2023 | Audit Manager bei BDO, 2020–2023 | Wirtschaftsprüfer bei Moore Stephens, 2019–2020 | Abschlussprüfer seit 2019	i18nexus	
about.team.second.name	Ing. Romana Rödlová	Ing. Romana Rödlová	Ing. Romana Rödlová	i18nexus	
about.team.second.role	auditor I jednatel	auditor and executive	Wirtschaftsprüfer und Geschäftsführer	i18nexus	
about.team.second.specializations	"Audit českých společností, společností se zahraničním kapitálem|
Zaměření na výrobní podniky, přepravní a logistické firmy, hotelový průmysl|
Účetnictví a účetní výkaznictví"	"Audit of Czech companies, companies with foreign capital|
Focus on manufacturing companies, transport and logistics companies, hotel industry|
Accounting and financial reporting"	Prüfung tschechischer Unternehmen, Unternehmen mit ausländischem Kapital | Schwerpunkt: Produktionsunternehmen, Transport- und Logistikunternehmen, Hotelgewerbe | Rechnungslegung und Finanzberichterstattung	i18nexus	
